,iou,iou,iou,iou,iou,iou,iou,iou,dice,dice,dice,dice,dice,dice,dice,dice,precision,precision,precision,precision,precision,precision,precision,precision,recall,recall,recall,recall,recall,recall,recall,recall,negative_predictive_value,negative_predictive_value,negative_predictive_value,negative_predictive_value,negative_predictive_value,negative_predictive_value,negative_predictive_value,negative_predictive_value,specificity,specificity,specificity,specificity,specificity,specificity,specificity,specificity
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
model_architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
efficientnet,5.0,0.2714294696289366,0.00786884425153128,0.2621243945774925,0.2668874909110056,0.27061740284846025,0.2747368111797755,0.2827812486279492,5.0,0.40615952496539187,0.010053669660750476,0.3936208537720762,0.4009445232856173,0.4062955577756453,0.4092814543191846,0.42065523567443625,5.0,0.3922847244710624,0.00964952968579158,0.3805094652407485,0.38619206502185255,0.39127857870303917,0.39875958014446217,0.40468393324520946,5.0,0.5569267280283402,0.013670545290278717,0.5444064299610282,0.5465050533090422,0.5517037922684218,0.5656121473834446,0.576406217219764,5.0,0.8675032369419193,0.005926955088290096,0.8629255051477042,0.8632236128087214,0.8669116469620154,0.8669242625596852,0.8775311572314712,5.0,0.7961514599533521,0.007123748675768267,0.7861455291619415,0.7952333613479677,0.7954130547371218,0.7978913332315882,0.8060740212881414
inception,5.0,0.2872019501579076,0.003044272169874627,0.2831904563459892,0.2856759600534039,0.2868594509715864,0.2893528797858264,0.29093100363273205,5.0,0.42991257050451903,0.002852573643202218,0.42643186064079913,0.4283457532000556,0.4298717851202427,0.43087064321181673,0.43404281034968123,5.0,0.4282331808513401,0.008992117506560275,0.41329455134783566,0.4262018378292238,0.4336588876608662,0.4338177327324186,0.4341928946863562,5.0,0.5528372818009316,0.009138358378558486,0.5407939367073711,0.550287380807634,0.5521592257581645,0.5547533120331457,0.5661925536983428,5.0,0.858498295231686,0.0046674773042949666,0.8543907751878578,0.8567240608230308,0.857187745190686,0.8576481239677237,0.8665407709891313,5.0,0.817969369125388,0.004991555805275169,0.8109483188497032,0.8149099451307645,0.8202384561041812,0.8202395729592261,0.8235105525830648
inceptionresnet,5.0,0.23389828365177873,0.004144229260445151,0.22896233242549696,0.23202875355200536,0.23217421239778024,0.2372997141091535,0.2390264057744575,5.0,0.3628416153210735,0.005428020336051885,0.35705372236427774,0.3594120008161574,0.3605585433807112,0.36780210195610746,0.3693817080881139,5.0,0.41770025361633856,0.008222377408573924,0.40608306105040237,0.41334394297321214,0.41912428488889913,0.42289870400911045,0.4270512751600688,5.0,0.4242141164009679,0.010475776973670456,0.40840167167697056,0.4214191943731535,0.42421939298105865,0.4315022396929447,0.4355280832807122,5.0,0.8459035483226007,0.003602910165894196,0.8398043575713632,0.8463920472854527,0.8469500119178857,0.8469662543574827,0.8494050704808191,5.0,0.8648828150989001,0.004629610510142701,0.8574320611194515,0.8638280031187678,0.8665705983121884,0.8670634724218932,0.8695199405221999
mobilenetv1,5.0,0.24867052522937164,0.00424706472869158,0.24437443799530967,0.24568889623841775,0.24718325344311345,0.2516074616451267,0.25449857682489047,5.0,0.3828288904085692,0.005667078327282542,0.3769927791807898,0.3781475020511536,0.3817989718942751,0.3870606281022286,0.39014457081439885,5.0,0.381537939548734,0.007145689284119839,0.37436711681488066,0.3765233031781095,0.3784222874623902,0.38851509518471433,0.3898618951035752,5.0,0.49249907411901495,0.014482249673022734,0.47691531157766603,0.47800482111024006,0.49607836098373564,0.5024240895248363,0.5090727873985967,5.0,0.8443412527010615,0.004482078959341153,0.8384355831146095,0.840642907730012,0.8469953528293475,0.8472655123470482,0.84836690748429,5.0,0.8087166774261277,0.009360635315247218,0.7968769463138832,0.8026336055922889,0.8080465635653126,0.8179599945379636,0.8180662771211897
mobilenetv2,5.0,0.2656122792667569,0.012531033745341591,0.25531090526812633,0.2570998343423148,0.2633107768426247,0.2656508646280968,0.2866890152526215,5.0,0.40286689342375814,0.015746665312423403,0.39039281253258634,0.3921609415131945,0.3999493344551252,0.4022673290592041,0.4295640495586805,5.0,0.4424174706909364,0.0198422687361522,0.4290761085644294,0.4323017145372861,0.4328940330069451,0.4407420165481139,0.4770734807979071,5.0,0.4607868684401126,0.013700141946362933,0.44400173080515476,0.4539694342944872,0.46061670421856654,0.46430792535097265,0.4810385475313817,5.0,0.8415328411560485,0.004914442841231943,0.8351846975708317,0.8378242310790731,0.843220746955023,0.8441865063195436,0.8472480238557714,5.0,0.8565448222058178,0.0062101419865410665,0.8514053063035408,0.8539502853701001,0.8548044918094653,0.855231952157864,0.8673320753881189
nasnetmobile,5.0,0.29884608641391897,0.004623687004821332,0.29308181808601813,0.2979098842716202,0.2982158427814344,0.299036981593043,0.3059859053374792,5.0,0.44078239774831757,0.006438249758270068,0.43286406475462713,0.43910227940673713,0.439615113383936,0.4416393204264664,0.45069121076982127,5.0,0.41695290668729756,0.009891361866932133,0.40516705489848454,0.40789415283089797,0.4198310305672013,0.42534116692655416,0.42653112821334976,5.0,0.6065164949556133,0.0047097652946416916,0.6005974083344638,0.6039645095453249,0.6054180560324408,0.6109971102215833,0.611605390644254,5.0,0.8762958723088978,0.0043744395653239005,0.8722100279791862,0.8732583669423609,0.8739981636141634,0.8803118918013265,0.8817009112074519,5.0,0.8028283023981894,0.005187787956024432,0.7967163032306342,0.7984636436818912,0.8042726225617381,0.805298967299524,0.8093899752171598
resnet,5.0,0.1937371605356694,0.016559969621212752,0.1801143287129031,0.180218982335587,0.18484945865404162,0.21121188642164618,0.2122911465541691,5.0,0.3038113160985251,0.0225993250679897,0.2830832628230825,0.2876838382823248,0.29185818955856435,0.3251212567007057,0.331310033127948,5.0,0.3492725809558824,0.009835744315208705,0.33829923324159455,0.34308355037323435,0.34674674804334293,0.3553712664834787,0.36286210663776114,5.0,0.3711307245013917,0.05875320043000681,0.30788755579649546,0.322468147062865,0.36238742227310683,0.424918137631009,0.43799235974348233,5.0,0.8360610129980058,0.007037095667631026,0.829267106356173,0.830929530850633,0.8330181707913575,0.842077012869076,0.8450132441227893,5.0,0.8415492859407733,0.022974120683886136,0.8184751943062717,0.822842757802291,0.8365491482442838,0.8575345322207475,0.8723447971302725
resnetv2,5.0,0.2650523861621272,0.005316437184140693,0.25813844788045703,0.2620748131113598,0.2648163019412986,0.2685272059823895,0.2717051618951309,5.0,0.4061559327942413,0.006479758452931507,0.39814697167554564,0.40174761592574426,0.4060180948039928,0.4107694753526787,0.414097506213245,5.0,0.503756749124481,0.007439641875196568,0.49318854518628713,0.49882202586988517,0.5075125948921715,0.5085693189582184,0.5106912607158427,5.0,0.42039213965923866,0.005597766138356328,0.4152132530205328,0.4165468231756424,0.4173222268883883,0.4256728969976341,0.42720549821399595,5.0,0.8439537361308892,0.004000005684478503,0.8391676133266743,0.840249039436126,0.8459030898964122,0.8461821001252666,0.8482668378699664,5.0,0.9076290313171504,0.0025775237509949992,0.9042505655463167,0.9057366970415012,0.9082794234652437,0.9094480834302369,0.9104303871024543
vgg,5.0,0.20417308460016823,0.03747036647240448,0.15439090461208335,0.18089057594774832,0.20535744376406462,0.2377702585865606,0.24245624009038436,5.0,0.3246309606654637,0.050569047718260256,0.25635187360759276,0.29360546877651594,0.328295508780144,0.3695045536365801,0.3753973985264858,5.0,0.4637373810008608,0.02023414036523369,0.4490396811400283,0.44916253271235324,0.4582621464320119,0.4641473287449135,0.4980752159749971,5.0,0.30248206213092865,0.07855523150824459,0.20078437195014212,0.2504760374479913,0.30367100369342376,0.3771807348526211,0.38029816271046507,5.0,0.8251357164528296,0.014581915999146643,0.8037045144611888,0.8180064417318597,0.828296662665725,0.8358547666541134,0.8398161967512615,5.0,0.9201237205868631,0.025521694129968565,0.8942259451310551,0.8983273540244113,0.9174733869510314,0.9356693356066477,0.9549225812211698
xception,5.0,0.29845808197667234,0.0057026115650620456,0.29206693782871546,0.29296330490108696,0.30051569638039005,0.30156831860484495,0.3051761521683243,5.0,0.44332126470713523,0.006912146664206621,0.43582550956952637,0.43631311496259884,0.4460038723948965,0.4471411406696574,0.4513226859389968,5.0,0.4870918091961558,0.007303454486587632,0.47671001957114284,0.48317225709603295,0.489483557460122,0.4904410659343715,0.49565214591910983,5.0,0.508312668246021,0.014403693884451892,0.4952036691721848,0.5021414586014569,0.5030664662630335,0.5085002605961232,0.5326514865973064,5.0,0.8547331617115468,0.006538831449255836,0.8480827753667327,0.8503906061760568,0.8544011821306962,0.8557210793478608,0.865070165536387,5.0,0.8705234997655374,0.0019191681350182613,0.8677284302728171,0.8698295728471139,0.8704415866740902,0.8721409214959261,0.8724769875377401
